일자	시가	고가	저가	종가	5	20	60	120	거래량	5	20	60	120	
20180205	322.05	324.64	303.47	304.83	324.69	326.85	302.45	274.40	550,481,000	536,881,600	460,138,000	395,659,417	381,767,783	
20180129	337.28	339.27	326.30	327.01	329.52	327.29	301.71	273.92	537,749,000	503,449,200	455,776,900	391,471,167	380,361,142	
20180122	328.78	335.38	324.56	335.38	329.07	326.31	300.48	273.25	510,623,000	442,048,400	448,082,350	387,160,500	378,120,667	
20180115	328.57	331.88	326.21	329.52	326.23	324.93	299.09	272.43	491,051,000	424,679,000	440,745,700	383,391,083	375,558,483	
20180108	330.83	332.70	324.22	326.72	325.57	324.02	297.77	271.63	594,504,000	433,487,000	432,932,250	382,107,483	373,928,983	
20180102	325.73	329.52	324.30	328.97	325.17	323.10	296.53	270.92	383,319,000	429,081,400	419,925,350	379,530,650	372,104,333	
20171226	322.14	324.74	316.90	324.74	324.33	321.79	295.25	270.12	230,745,000	443,523,800	421,544,050	378,119,467	372,114,725	
20171218	327.09	329.43	319.55	321.21	326.47	321.22	294.12	269.32	423,776,000	489,124,400	432,533,250	379,438,200	373,493,625	
20171211	325.13	331.22	323.13	326.23	329.06	320.87	293.05	268.57	535,091,000	499,030,800	432,690,700	377,201,583	375,008,483	
20171204	326.31	330.17	322.39	324.68	331.01	320.65	291.86	267.75	572,476,000	492,303,400	425,671,250	373,710,467	374,120,725	
20171127	335.24	335.61	324.50	324.78	333.84	320.28	290.79	267.02	455,531,000	466,576,200	419,638,900	368,300,533	372,227,058	
20171120	334.43	337.05	332.26	335.44	334.73	319.57	289.67	266.31	458,748,000	459,393,400	416,387,550	365,742,167	371,534,683	
20171113	336.63	338.04	331.36	334.18	333.42	318.39	288.38	265.55	473,308,000	453,105,800	417,194,950	362,840,600	371,735,042	
20171106	338.66	339.01	334.53	335.96	332.05	317.19	287.01	264.81	501,454,000	435,492,600	417,582,950	357,300,133	371,888,617	
20171030	331.72	339.59	329.62	338.83	328.11	315.74	285.70	264.09	443,840,000	408,179,400	416,856,950	354,314,567	373,531,833	
20171023	330.24	330.55	326.62	329.23	323.69	314.26	284.33	263.33	419,617,000	408,012,800	415,109,700	351,767,017	375,199,567	
20171016	328.57	329.43	326.04	328.89	320.58	313.19	283.11	262.71	427,310,000	416,741,200	418,431,800	349,943,317	375,352,758	
20171010	321.29	328.44	320.57	327.35	316.29	312.10	281.94	262.09	385,242,000	408,050,800	419,960,850	347,303,850	374,995,308	
